5급,萬,일만,만,,,,,,,,
5급,每,매양,매,,,,,,,,
5급,面,낯,면,,,,,,,,
5급,命,목숨,명,,,,,,,,
5급,明,밝을,명,,,,,,,,
5급,毛,털,모,,,,,,,,
5급,無,없을,무,,,,,,,,
5급,聞,들을,문,,,,,,,,
5급,問,물을,문,,,,,,,,
5급,物,물건,물,,,,,,,,
5급,米,쌀,미,,,,,,,,
5급,民,백성,민,,,,,,,,
5급,班,나눌,반,,,,,,,,
5급,半,절반,반,,,,,,,,
5급,放,놓을,방,,,,,,,,
5급,番,차례,번,,,,,,,,
5급,別,다를,별,,,,,,,,
5급,步,걸음,보,,,,,,,,
5급,部,거느릴,부,,,,,,,,
5급,分,나눌,분,,,,,,,,
5급,社,모일,사,,,,,,,,
5급,事,일,사,,,,,,,,
5급,死,죽을,사,,,,,,,,
5급,色,빛,색,,,,,,,,
5급,書,글,서,,,,,,,,
5급,線,줄,선,,,,,,,,
5급,性,성품,성,,,,,,,,
5급,成,이룰,성,,,,,,,,
5급,所,바,소,,,,,,,,
5급,首,머리,수,,,,,,,,
5급,詩,글,시,,,,,,,,
5급,時,때,시,,,,,,,,
5급,示,보일,시,,,,,,,,
5급,市,저자,시,,,,,,,,
5급,植,심을,식,,,,,,,,
5급,神,귀신,신,,,,,,,,
5급,身,몸,신,,,,,,,,
5급,信,믿을,신,,,,,,,,
5급,新,새로울,신,,,,,,,,
5급,室,집,실,,,,,,,,
5급,安,편안할,안,,,,,,,,
5급,夜,밤,야,,,,,,,,
5급,弱,약할,약,,,,,,,,
5급,語,말씀,어,,,,,,,,
5급,言,말씀,언,,,,,,,,
5급,永,길,영,,,,,,,,
5급,英,꽃부리,영,,,,,,,,
5급,午,낮,오,,,,,,,,
5급,用,쓸,용,,,,,,,,
5급,友,벗,우,,,,,,,,
5급,遠,멀,원,,,,,,,,
5급,原,"언덕,근본",원,,,,,,,,
5급,元,으뜸,원,,,,,,,,
5급,有,있을,유,,,,,,,,
5급,肉,고기,육,,,,,,,,
5급,育,기를,육,,,,,,,,
5급,銀,은,은,,,,,,,,
5급,音,소리,음,,,,,,,,
5급,邑,고을,읍,,,,,,,,
5급,意,뜻,의,,,,,,,,
5급,作,지을,작,,,,,,,,
5급,長,긴,장,,,,,,,,
5급,場,마당,장,,,,,,,,
5급,才,재주,재,,,,,,,,
5급,田,밭,전,,,,,,,,
5급,電,번개,전,,,,,,,,
5급,前,앞,전,,,,,,,,
5급,全,온전할,전,,,,,,,,
5급,朝,아침,조,,,,,,,,
5급,祖,할아비,조,,,,,,,,
5급,晝,낮,주,,,,,,,,
5급,住,살,주,,,,,,,,
5급,竹,대,죽,,,,,,,,
5급,重,무거울,중,,,,,,,,
5급,直,곧을,직,,,,,,,,
5급,草,풀,초,,,,,,,,
5급,村,마을,촌,,,,,,,,
5급,秋,가을,추,,,,,,,,
5급,春,봄,춘,,,,,,,,
5급,親,친할,친,,,,,,,,
5급,太,클,태,,,,,,,,
5급,通,통할,통,,,,,,,,
5급,貝,조개,패,,,,,,,,
5급,便,편할,편,,,,,,,,
5급,平,평평할,평,,,,,,,,
5급,夏,여름,하,,,,,,,,
5급,學,배울,학,,,,,,,,
5급,韓,나라이름,한,,,,,,,,
5급,漢,한수,한,,,,,,,,
5급,合,합할,합,,,,,,,,
5급,海,바다,해,,,,,,,,
5급,行,다닐,행,,,,,,,,
5급,血,피,혈,,,,,,,,
5급,形,모양,형,,,,,,,,
5급,花,꽃,화,,,,,,,,
5급,話,말씀,화,,,,,,,,
5급,和,"화할,화목할",화,,,,,,,,
5급,活,살,활,,,,,,,,
5급,黃,누를,황,,,,,,,,
5급,會,모일,회,,,,,,,,
5급,孝,효도,효,,,,,,,,
5급,後,뒤,후,,,,,,,,
